排名,标题,热度,链接
12.,美国女子抱婴儿袭警母女都被射杀,38.0万,https://tophub.today/l?e=03ae0qsWRarOGs3dHQoRCzDXOPM%2BcVwtsdQSAnmv66i2oBDJ40hESZiIy7NJKoUebKdAzRhk8rbOqNlfS9bdwSWq3IDkPlpmbirzptDxW8AaeB2gCpWz5O6pz%2Bi5DsHXPWnbOz3J%2FW5nrUG%2BC56m%2BpOPL5RiAKHWrbloPSaxjwH%2FiHNu6ThKiC%2FfZLeH6A%2FnqqBAt%2BE6m1udzeR7xHnoFDXqLieTSCLiMEMbK4kNFIZpSmzjH3cMFPaWynjCkx8miA%2FPo%2F2nKAHjmtaD5k%2Fbv3mOwe551XpYufJROFE%2FGCRwz1ejcTSWR4ouBTug2UYoxAPurYMF8kpSN2Un%2Fc2qExO8NAf8fmpZ64OSotv31mz0vFsuDxmmD7CMABLkZffZcSrVkFgjyurFQgnKxizNANgPATIV3%2FbAYPVW2514W3aJXU0C
13.,黄雅琼回应郑思维退出国际赛场,36.7万,https://tophub.today/l?e=5c7eJ2WPMSIKy5OTPJddXIgixKCkYvJgc6%2B51gohImXuBr6V0vmIUP6y9auHsgayiLPeUEa1g93JHYM%2FzdYu4Diu%2FGVFoh9veQLXYp%2FNV1Lcq%2FQ1LCjAn9m0M0ncqTatbYaMDToKetmJ3cfbDFRnSB5od7omiuPEEJtN39j8J%2BlYu%2F%2FuIO8h4biVOSN%2FGn%2B8DO6uEj1qnscpEhwxDa%2BaeS%2FsQ887G6d64DjvQFh3OC3jPBVnExVvp4%2FA7jbB0C93%2B5uMMh3pWxtWz%2BumqBJu0xXYawi6tJaaFw9vLyvFz%2Fv1zHNl%2FOn%2BsU%2BvBNtQo%2BwpMRS6VOjc2PAc8STFIBAb4rwTQFooP4nWYKledP05P6zbz64vVszIsK6fHncOIy%2BbIX%2BRfGMHQ8TMSAdbBNUXqjZW5zW8
14.,再见爱人4第七期视频没了,综艺 361721,https://tophub.today/l?e=9b0fUfITNhMzp2wwYjrKDBgaj6vpu6Qfkt%2BZoijBT2wt7xpjVUB%2BlsYf5T%2BCZzzylLs1gm5SFia2ZDg1w5kv36HMWB7%2BTJoTYH5sgv2T7zIXoc%2F%2BnlM0SsMDsdqwWY9bOctv%2BS2CvAD05gVwPP05jDILas2PoGR8TArS2dWKOKYMAzfe%2F4YwkWohBziJlcmg4nTfuAXB%2BWQghvykENLLqHn5qIhQvaUuQ7udUmhs1oAJuTOAimsPFt32FtCo3B%2F7J1n2sYyu26iIKbOy7oeNNJTaDb1OzIuviZSMPBC4gkclcbqRtyG7vu15Rq021kc%2Fa%2F%2B8q1lxYHBm3om4VDKFCZJ%2FPvbyhAUjWA
15.,王源头像P了个新帽子,33.9万,https://tophub.today/l?e=f104xDKpxmiqzXmJduvlreyWjmzcFzKOv%2Bm39wiFqVsv2Tyn6k7esKW6Pp8UlQE4pvB%2FyMk3F6WrwFHyXqTeq4N8WujN2YGCuN2gKuttcfRJoY8NYIbvK8k8A3NSwMYf%2BcjX6i1jVgMw8reM2131EGeRul0Ql%2BzvILPTKrWJtaqqPo2Cjksh6AjbuUhsD2R1kLFTH2%2BHLOMCl4gOMpjlzI3JkILDbk87HUPu7GPR0o1kY4PTCzt90yGWaFTSPhEaUaxb1PXc7h7pUVKCkW7dMe6y1iAdqCWrAgafVDI7geOviFXphBY30CTjyA
16.,韩国人的精致穷,30.9万,https://tophub.today/l?e=8037XRm%2B7uLY9rAAOux9PAhMV7cgqDHQrms%2FVZs32D2uDEC0WWfmj5pqPAvQLc0X6saQdNnvbcImsjeZYJkVEv4suHlyTerzQmHLKIO9XfM%2BJhinRjHKdTy7pg2RdVDk4Sl2%2FsAILKEACbJy7BBm1rxYCCqo7h9iqV5n4psTNsXd9FsSZl8M%2Fwx8Cj3UKYG2yCkcpSffZMnm2rS1psLuOhMFNOsyjqzMqE5NBs3XLVYrUYwzLyK4aMBDmMUNacvaO4c75n3PlL3ugNac
17.,3人1分钟抢劫金店价值千万财物,27.9万,https://tophub.today/l?e=d11fnGtqKDu0IB3ESOYXBl2wACqf3lcJ5PLZldmGLJrso4xl%2Bw%2FPhv%2BkE7glMG9k1lgizwfr%2BYSIJFw8bZmehvAWQ34Ugn%2F4wdbQc6id%2FjJ95ibKgAgeYDzUFlitzhFFkWVKvWEtbu0hLc1ScM1ZrIDFh46AAXIyFAa3V9uD1U90R1kZxRifpxWmIgCpmKFkNmCXcoz%2FqfXt%2BpcptdfLXe2PrHkNsTgb%2Fj3RaZCjPkaSdX8e%2BcDL8SO%2Fsus5OTKLywNeXz8cg4U%2FOcKxCHvUyrR5yMRSYE67N%2FsMBJjfPdsVaeOfZTG70sagMkzgafvYbEIeCay%2FTj%2FHuWf6chvHPW0%2Bqv2eRKtWZrhUy6%2FUFOcxWaPy8pVXGPuWD3LMvzzteSQVKKMlHaI
18.,孙艺珍为2岁儿子庆生,26.0万,https://tophub.today/l?e=18c8NPV6XHz1ZdktiqDuGSILJICSOcaz8rk1WUpcxqufIkcHFZi7KACWdkDBZGVMfn5JWmzkGf7GWi6YjfCovEnFb%2FJSfCNB1Ns914wVYnAPZCawlp26iLfJD0lDjZ6beFiKu7Sm6Vv98l3Kr3k4rd7ua7JVUOxhUFvS0dY0YSI5X0vbngj8QSvX76rswzIOGj%2FCDnROPwsQfiWmblxcF8jeMRmyfMxbktGwiHxXVYwmhnRXOz5T%2Bb6hlwrxj2MrQUbIHrOxozHV1a%2FJvbEgMst7ZLiKZSZrfmgJgBoifIv26MQgOR%2F46WIAhA
19.,胖东来调改永辉超市25天改了啥,25.0万,https://tophub.today/l?e=b820QuCwec6ZhoGQpRUGTjF1Gns5sXyVDuBSkseCKGGwk8%2FU8YH%2Fc8OZja3%2Fj7d0HKN0%2FqWjWJ5rxNqqbom55TtDLFXGYGO207TbgC6TlI2HdTDQhvzRJdaWmIwjjZ6ajqV55Phu4AxQNi7Yt4xyz6%2Fm6OSIaocdUup%2BA6bCZolEnEQ11YfEr%2BKaVaB1yV9wqe9qayAgu7uKVQ87gh8eKRsSs3ZKlz87qPoLc4Cq3vSQ5ELdHOOqqTbUkYzaTh7sl%2BHyzE7USmMR8NPVfN8lp%2B%2BNKvsBGmFN0mPZziesd%2F3PuUXWo2htiKbolCh26fA8r5wz%2BoFTBOHPgxd1c%2FxCdbzVyNwwLrU6zYjWSzBOvD%2FFK7WoPnCSaekMwR6U1BOGyPR8aqUDs7A
20.,王楠女儿落选国乒少年集训队,25.0万,https://tophub.today/l?e=97d4PStJEnsIPFlDZWjmetZPXesdgQRYWTcL7iavXYD0fnftR7d9VLg2O9HPWdDKzew%2Bv6STSv2EXqQOONmLf034U2DZ3L4UDXcQRZmGHo8J5PkOUL7f8w6mhfKr37r2tzcj6AGnl9dXk%2FNxFUtFEN5CoaU0Do0TgHCEgyoL6%2BHk0mnFtRpsbMWMiFKb8Slp4a1rY7iRYaknvyNgstrjXswTPbTbhYe7cGk9XHFaB2nhyKIDDK9Sh2Er1ctm9%2FJjed0KuVLZW766THJyDJ7G6%2BwyMW2zjdGOlW45JEG9ci6nnNBzGWH%2F%2Fd6sYkBX7m6Yzb4Yve7QWpObYXudmSCelQijkwhVAORdzYlpDab9MsU1OFg5g9GxQGPaLPQFLzn3kS9pqYDd
21.,外籍男子人体藏毒123粒被海关查获,22.5万,https://tophub.today/l?e=a749lownuU%2B3HWmvq3rQZbSreti1SsZD8NibSVObCG4dpA7UmlwlrXUHl5aADByaOANTcW8RpgEHcqmP0KmfQCpwxWLft%2BBSANNTE9TTTYBLsF%2BtP93eQDHGXt%2BFgeXpiJXzlG3NuDl9iotZs8nauzvhrjdBE7d8ornxrH9gIymAL3xvH3B3Z7NyiJMFYVEFnzNRy%2BbOI1vo1kKILxJCObB4a9pc5g%2BI43m7SVb75a8CaIblL%2BVcPdYaTv4ntas5SwpxDAUbZ8uYUPF9rchQLyWToPj1tvakHN5yaTBvXsiAFnghX1svitfmYgfM%2FmU0SPWQ1gADUcwqi%2F%2FWuV%2BC6RaYnPU2%2BcYMMlJakAZbOwECUwCSCCLzsQj0W38wI%2BfR2yjpV3PstyemPinwhQeyy5fHCX9XcrZH
22.,唐嫣灰紫发色,21.4万,https://tophub.today/l?e=f701n9tGVps9EKzTufL0zRXJoqquGqfkYHDx8KcH64AVw0h8Sxmxspyg9VO70KRpmpY7T7g4K8D9uQN%2B%2BxNNDqII8XUKwxhLAQ8GMBfSqpmOGLfX2wlkNRJJz8t8t%2FtxPXP9218CmU%2FOLwgZoSO9P%2BGnm2ne8I4g4JEO%2FPtTJuRJWMdE63YNal94qn%2BgdaVcuh6kKtU8xy%2FUPfT%2FDQy8G8twfsPsLHmfV7A8OjJt60CDXzsi%2FA83uX%2BizNve
23.,林一长沙活动取消,21.3万,https://tophub.today/l?e=4434Gf%2Fbd1KAzETWFZyrFfbNPbUvb5mAF%2FpUddZkjg6XQgXPB8o7V%2BZYK9%2BSmFBdcPI0O2IUlku7E34wwCS1FaZTErZrb%2BXyB5Q%2B1V%2F2uMEsOGB%2BsG4tkvigSbSNEfMwVDeYOOuDZhKr7O7n42DVwsYB0V93PMaXSCwZySJ%2Bf4WMoMpao6bbvU%2FPaQrDd%2BBEfWxmgnoT%2B1PCqbCVzioeoLiQikWoiy%2BxmbNGg4spUzQUwW%2FN6vugKx7dpo6x7gi9PE2iuC47zEDVGQqmtVRkS8aPZR3eVUFlKYwm
24.,丁禹兮看人深情是因为六百度近视,综艺 209505,https://tophub.today/l?e=945dpaSQGSZb2lEg6GCCZ%2BVCxVVXND5M%2Bp9oU9yD361FiDpMGImWgatQ7TaaiMlDsmgBNOCdGErEBg5sY%2B96U4Eg1vSam17ra20e1L8YJAjDOHkEbZ1EpqJwialQWLl3urrJ9nxTqD2vivTx5gzPRiWBBlSzmZ%2BZQ3GUJIydbVKFNl3%2FaOV7NfZaN9LxA6q%2BMZj2Clbcln84aCGmbJmpR1Hv8LljDo0mGLQ%2BCdMG8iILQrOlUmiEr72uETFvq7uc9ptC9aAINnBm%2FbgcosMEGa4CxErcNiDAF%2BTN7IS1OFXQkvRUjmKEbLkt8ceWyyeBkSckcZsjIADN2kuIf2EjCzjvniVfrcoSZBbv%2BvnjJqIOG8OC%2FcQNcjhOI4mKLPb92HO1q330xSnALLCpXozpPAJMiW3ld9uOsMOV30aO6P2VERAW
25.,TES官宣Meiko离队,19.9万,https://tophub.today/l?e=c2b1%2FNHgcsdSkl0OX6m9STX8znZVUiAEKHPMSYJNum7lix0TCPEp%2FjRT2ta33UKP3yhLjhbey2ZjF8SynrjLdBeXUNCT8%2Bq7zogqKijGEH7JrJJUfssF0lEiHZvEfYtH4VK%2BFeL6ywcgWfQtz5Sed8jwdwKRG04rHw4G1WVRUOFQ99Mc2mSj7zSBzI2hh%2FZGOgGV0bDXih0hr7OkzH7IbQnfZRIXRak
26.,派出所回应山东一金店被抢,19.1万,https://tophub.today/l?e=b0c0xC3PJ%2BerQba69pa3q2szY90kalnx7MV7mb3YgkRb8jCnyvk6BtqcuMJB%2BXL7%2FaxPJaPg2tsHvPjcGetP4BHN61CYFcjX3LoSlkg8lK%2FEC39RqX8JaCOGwBenlMygwiyO8O0zT%2Bi4UqFVTGivyCKdR1bgN9MMY9ybEHifwWkxJlTdrSfk4jR3UbkfpBgNBL%2BfnE5ncIx9ybCWaEN8xwfVS%2FX5JUWS7M5j%2FCrCLeQC7QkiYEKJEaBjW1PHwONRXRZEjybvYaCPJr5%2BzAYPnMTQOaD6ezPvioHGcQgTrPKwT%2Bh2E%2BJu3p7F2MZin5BmXn3DWfKcwwrI7LfqiKiRlua%2BerAWQI4C1SzpukdUQn96zSZg5MoM
27.,崩坏星穹铁道,19.0万,https://tophub.today/l?e=792dVAzUVSPVq9pMhxp3nWcawqg2J7m9Ifv0pJy5MsXvQRlvbK73xy%2B3Nxaoz748y0RaWEuGuyfB2jPNwCJeefA6caIdCWPukLUTs6Ic2hbz2CKEN7toiBDNzXUxQYWgZ1sYmfQGAag0xpQU%2Fh0tErjtZR30uw7HJyiDVflI7JGGFu5RVprIONGdRKhD1xQzb%2F3jkzBsyHNlfhpZcJzGs8rRtmH73bkzadLV1Dtk6IGcz6ujBAp95f0Z6Xam
28.,古巨基钻石败犬live首秀,演出 189465,https://tophub.today/l?e=4258Hl2dMJ71BNB%2F2rhbvPcCD8n9k4l2gCCV1PIB9kSSglIF3Q4teR39%2FlkIKpfqo%2FbKQA4sENR1YtJcP91okRtFWQWfBu0W7G4sDQyhgU3Pn0yQTbQeq4m8NkP2WRGC9HHy2nhgZ6fS0bZf%2FDfMn8RReiGncwQUWnelvht%2BuZwWUE2TUqlipQ5IQVNfhLlcXy%2BKz5lC79wFNYFZnvHpJauFBQPUKj48cHEvAgaOSxUVL8agt0luwhfON%2Fijov0KhPwKez08A0T5oI7CLcgqtgiH2oUbryL2tElg%2BMHvWnt8jqMAaEAtieezb5NfeQ
29.,老人吃腌萝卜后中毒整个人紫了,18.9万,https://tophub.today/l?e=bbe8krbhawyqZ6u3zBveSnVP7LQ2EUF1yXGGnnrUjZDzmBo7Xf9yuB2Kf55OiU9UnCSzbgXTkJSEntGztNLFUx2smgIM0SvQSUKwGE92Y3jCBrEbCAMiTy12pipkz40SRq2duUI4r1DhdC0%2FehwNR3COkRvHNLNHhy28qh%2FXZMtuF5Fg8sh5uU4Q40%2BC9J26zU4aej5u4KANxAV96Haxxym3NWbhRXTl2wHoyFYtsaveT%2FeVN6isjUT%2BOiKUhcEjvIZ61xOnFHoAaO2l5qcCLbFSa0jRR3Nu1IHxHI63A49Ow013EF13AAi5QVqEx4ko4TJiyhy5gJW3f22tWuoU4h8MVstxN74%2FuXp9BlPyEyfXEuMJlsUnBlEqvjbATs98G9j2pqFNIV5Asvt%2BMsISUFRAwjYH
30.,年轻人买的水果半数是情感商品,18.8万,https://tophub.today/l?e=d8f6ho8UhqzJ7geX2ksCTnNrBf0Oao8Z%2BoDiT7bD3wE4yl3j0tFemmmGwyy9NMj6Rr3G7h8CXTi9WgoZsoAF9%2BGR19DURAsWhbAwNtM6%2FAcut8XG4mRBJXq9VBfyS12L6eCg3i8WvIt5yfSLtuCQVgdllaXPVrwc%2BOtXBanIRrDoi4wIP8S013Bc9zn%2BTGBXGK8Y3uWgf%2BmvdRRcMv4JgvcDaGFMALDS6vINskzpo1fTRNkDJYCJIOIY1AufMWgOmScryHhPpdJUmSol%2BPvwADX8iCOCmfXUFy8qYPh%2FTRCsr5rvNypwD0%2FUU5XEVsoUe968r%2FBTOBGItl%2BxVU4XUiYeETwYn2YrCbu2%2BRa%2F8nQFeuM6Sz4Ba68jt%2BihGfwQd38mLqdqF3x%2FAdSdJKIWCYvuuagx
31.,张杰唐嫣荧幕合作,18.5万,https://tophub.today/l?e=68f2OLGvl6b%2FL0oMtJlDls0mBMwauWe5ipEycWnQI0pNOExqFCjgrbCumf2RbxOVPzrOBD4VqdzAq4DSPsAZ7osG9GcMuPqiNU4xKzO7RsDpSK4FJa%2FvQt9nq0STiMs%2BAvtTYHsSjb6K8SLNnR9pZUJuOEy%2FFf9EwXEArQHSvW92UrcpoBuUOOcT8ozvR3iMIztp%2FcoNMTBUT8AsKFBtKI%2BL9S3oH2iph8Qxch92OBVP15s66TaZ5ZkyO%2Fp5i6gq1b7YCvA4aYd5j6pihoZAJsT86rsvK2T7uLhv
32.,王海质疑李行亮麦琳争议为剧本,18.1万,https://tophub.today/l?e=d0b8VYl%2FIOECNMrdlIiRMtOw0rUKROsecgQmONZWQ8GWC8t13luVxDRO3rEgqUig6quKad%2BhvT2eNP3V5Bt6dKLMRQHkylbu3p2JrzDBS0Pt8e1yT68S7zRWrwEdvNQDqlTBbVWM7fw%2FDCbNDWX7iUNGeZnEKOrexeGcrwlugx4ZiIjONYX108ZG8qsaqGdw5nrkfZ0HHH3Y96JHpolTciaLAcFoa3wo0UL0Cbzfw7y%2FoWWmr%2F%2FX5XWFtvPY0Mik6uNusNwxgK7drXXSFgloAV3jyXEd4HO2I6pEtu9rG94pmUW1A0%2BP%2BBmXuM3DzbN4KAyPn8YVomHn2JAj4mL1UUwh7pO2v520wrZ3bEmDamOBIMIHPrJxQKWjqiQA7Fc2oe4XehpDx0gVK6U8n9wTE8m62EdV
33.,老师向家长借60多万买房还钱困难,17.4万,https://tophub.today/l?e=7ff2KkvVOnyilNx%2B7A4vw9DQvB0qw%2FWiivulAlUAkhTZfyD1iEHruzmzmciCM2gXIFlLwu2C%2FCg0O5Y0xDYiva%2BpMaIfQGOaHrK8HPRY74moor7r%2BpudIqLP9OXKkg16OCpceGXcT3V0nZanOblTms5QD9NuRMMeLATn3zr5ZgxdMSK6%2BrMVgSpy5qW7a0cNNDVkeZUSwIKW7MdVwQ6I3fsorSVZiRIfhE6wuPG4Vn6u%2FUR9V3oGSErCip9wUYD08b%2BfYdOUsAHYRPTjSIbdiJdYLD%2BnyeD4wa8gIh%2FzzgDXJXqv1fq2K4wzPBu2ijOKUchZHKXQ4MAek9MjmpvCSxdO7F0esKToKkcbM4wqF%2FDqC0YlRUUJ0%2B5dOevLGgrDqOQ8rM1ouW8p7Y%2FW7oxuWeO8U5IdLIw
34.,南宁一家长称15岁女儿孕期被砍伤,16.5万,https://tophub.today/l?e=142bFBtKZI1VTpiNeRu03u5QHRz4YHJnfldWH9aK78KZ7uD4BemkrOyInScTAp0fu6NaYITw09dpIvwFQK6751gzJytJCTScPq%2B3lO3T7QD9rSg8%2F2qCnaUGY6yK77gugeHLAuaenGarvlQjjToqy6sVvQBv07dzLPqSaegeTXXBGLggrxOhXiDwURFlDelWdbev8TT67zailBqwUVNmfo1K9casb8JuLB6O68crA1qsC%2BHcgX50FDSKEEjfPesJD3ARJIwDNcNwdv88pbHlDFw9XiUDxMKqiEC8aA59VQw8bnBmRuI6c6Wa%2Bn3uJ8wfsU4%2FwrRkNHiuyg6Vvra08CK6OPPULNahGlN9kh1w8pmlYk6xBSZ0iBfuc2cKECgYQwgBBXxm2T0D%2FddNmmGwRtlO%2FMpYDPQ
35.,珠海户籍居民可一周去一次澳门,15.7万,https://tophub.today/l?e=d120iVGvNzsHaymT4PdywN%2BvBwfXV3l9yP9FLsm9tOVASU209NN7MuPFKSAZUfhy7P5WbOGJTiM2BWPHWbNCUuR7QRSXBHMskOEUCjOxdPRDV1bTyisUKLyhezLBO9slPnVU2ZzrRkuI0Lld%2F%2F23EKUgaYOkpCMWLEY3tZ1R8DX3UquW9RfENOpXm%2FOpkhM9uZxZ%2Bu0h3v%2FrMx6%2By5rjTXp9yZQOtQwSLXYlXEEwFyNeQE4FqF7QBphjA%2FmqhYn%2FhBMkPFErLwmYOK2kc0BmKH%2FhAj%2BbjdHlBQorwbh2wiKkjPlEvUA0JlJ%2Fz8yC%2BbXwqaZ9YRDuM0YSrw7RtY6AwEilhwjZYw6FhJqM99TTsq86cul6yRrj2%2FuMTfFUf0kHVsEck%2FEC%2FdNbpJyH1QeYoqkUBPNt
36.,林一霸王茶姬活动,15.6万,https://tophub.today/l?e=d344emp7bBU0adm5cXOnDuxJ1Dgia9NGZ1hlFZ4MUuKXMAG0dcyXppJuiA3qo%2BLo6VOVXx8vOpITy9SAiInJJns4QlERCqqtt9LuDAUtKWTy4yICc8ZU13j0MttOSFZywprwPZ7tZoabnOdg%2BzYwgrDo6AffTWzUN55NZoSAJGCJyRvzXsjMQLxr54wjJ0Vw2ZIVHCAckjxGXZh7AOV0jdtgUeM8DOBvy5ltiaZ9QM7nW%2BmCC2r4dCEs5y%2By7U2qSm%2BCfm%2FDw%2FbmiOzOtB0zev8yhB7cXnWqtoYL
37.,卢昱晓看预告片才知道不是自己声音,剧集 156116,https://tophub.today/l?e=7012eA51HWaMLlA4kCrIJLJsP2D3o2DC%2BfQqmzcWZQ2%2F6LJoPzeb7l2G183n8pe9ZQ%2BNX9Y1BOameQJStJIc5itzYIArb6f4R1ThzS8%2FBRt9Ped5LL9cqV2EmcamoQGht36TmJtT%2BSylO0OZVvON83cbxtMNedSiM7J1vXmmFhJ1GTltSKbwhLISh8zAiHr38SMJ8DAcsILj4vPMu5tJJ4ddS7zFOODM9OqgGtMEPsZrcB69NkcKM8WeRNBK0gKTkeYpSuMrinhJMBY09tHyVr1cqd4nYwSyLdN%2FkVGw%2BtvEzy9bWwOjQykacYooq%2BFC2jcTI%2B%2BlumeFjoIMZPyCiZ4%2F6k1bSwZiQVMtL3GlhUlOYWJmPXGELZt41VVqpOEQ71tTeYX%2BuEFZ029xFSRQcBwCOrhQGgH2QpvtRVnlGqkT5rMfmAIGuKRU0VMKe%2BwvRVPG
